product,day,n,phi,intercept,r2,var_dmid,std_phi_xday,same_sign,survives_filter
OXYGEN_SHAKE_EVENING_BREATH,2,9998,-0.17378560751644112,-0.1844950249925948,0.030199403754559984,153.20466900175364,,,
OXYGEN_SHAKE_EVENING_BREATH,3,9998,-0.0937667201813964,0.1083983516884755,0.008793047471663207,101.4395429541954,,,
OXYGEN_SHAKE_EVENING_BREATH,4,9998,-0.0774072555102768,-0.003155445600140443,0.00599356095996717,107.20971997189719,,,
OXYGEN_SHAKE_EVENING_BREATH,summary,,-0.11498652773603812,,,,0.0421102272482434,True,True
ROBOT_IRONING,2,9998,-0.1615660559200194,-0.05560472557335624,0.026098510425198618,153.69206796667262,,,
ROBOT_IRONING,3,9998,-0.07707639203297867,-0.2163814783102202,0.005940819318052348,96.81587758735868,,,
ROBOT_IRONING,4,9998,-0.11410333205924127,0.036544512196275324,0.013012798690254068,76.66732762385149,,,
ROBOT_IRONING,summary,,-0.11758192667074645,,,,0.0345803536832662,True,True
PEBBLES_L,2,9998,0.0061877380605901726,0.01049300570266175,3.828725822363488e-05,225.91433533292326,,,
PEBBLES_L,3,9998,0.0022646850649001554,0.08846783511004422,5.128620118699523e-06,228.08198109539927,,,
PEBBLES_L,4,9998,0.012156205622308387,-0.18429800563939489,0.00014772195242818142,223.24078118882997,,,
PEBBLES_L,summary,,0.006869542915932905,,,,0.004066873338736127,True,False
PEBBLES_M,2,9998,-0.0006480933919567583,-0.09968458423269412,4.200187899705554e-07,228.68833075926852,,,
PEBBLES_M,3,9998,-0.009739074203987178,0.20491996387102493,9.485163502964689e-05,228.28194882694592,,,
PEBBLES_M,4,9998,-0.0041477380537431885,-0.03435287095368247,1.7206269373404304e-05,230.03112802029278,,,
PEBBLES_M,summary,,-0.004844968549895708,,,,0.003743980128575305,True,False
PEBBLES_XS,2,9998,-0.008068645214100495,-0.19904587300446736,6.507416045309355e-05,230.33927159592648,,,
PEBBLES_XS,3,9998,-0.02057080140967556,-0.12307151112990701,0.0004231231019236059,226.14990441938482,,,
PEBBLES_XS,4,9998,-0.018463858143689105,-0.08387250213204411,0.00034090448202472867,223.210113810661,,,
PEBBLES_XS,summary,,-0.015701101589155053,,,,0.0054650767130544255,True,False
ROBOT_MOPPING,2,9998,-0.018828007117586674,-0.01948715315661265,0.0003545379671517912,111.14611737701424,,,
ROBOT_MOPPING,3,9998,-0.012138010536026308,0.23719926542852476,0.00014734062295373995,123.59678658134841,,,
ROBOT_MOPPING,4,9998,-0.004027917099153182,-0.0567465796745257,1.6227668641954907e-05,137.88311991015084,,,
ROBOT_MOPPING,summary,,-0.011664644917588722,,,,0.006051375733113519,True,False
OXYGEN_SHAKE_CHOCOLATE,2,9998,-0.12139174640399414,-0.05720241955051315,0.014735956095011216,114.20226896677067,,,
OXYGEN_SHAKE_CHOCOLATE,3,9998,-0.007469581799038005,-0.015660694116729414,5.5782368043488795e-05,86.03685402043556,,,
OXYGEN_SHAKE_CHOCOLATE,4,9998,-0.11052049928505518,0.15606093698887818,0.012216260598513107,155.52322939064584,,,
OXYGEN_SHAKE_CHOCOLATE,summary,,-0.07979394249602911,,,,0.05133326320007079,True,True
