candidate,day2,day3,day4,per_day_mean,per_day_std,day5_low_q05_normal,day5_mid_q50,day5_high_q95_normal,fold_min_floor_observed
v_final,520225,465320,450479,478674.6666666667,29998.7385327376,429326.7417803133,478674.6666666667,528022.59155302,450479.0
v_conservative,460960,419783,445834,442192.3333333333,17006.52099114402,414216.6063029014,442192.3333333333,470168.0603637652,419783.0
v_replatueau,450814,418008,381333,416718.3333333333,28380.154689892413,370032.9788684603,416718.3333333333,463403.68779820635,381333.0
v_drop_harmful_only,489823,456258,446200,464093.6666666667,18651.001516153377,433412.76917259436,464093.6666666667,494774.564160739,446200.0
