signal,fold,n_trades,total_pnl,sharpe,hit_rate,calib_mu,calib_sd,slope,intercept,phi
pebbles_basket_residual,fold_A,262,4507.5,16.61752616734503,0.045504550455045506,49999.908,2.815552521264699,,,
pebbles_basket_residual,fold_B,272,4709.0,17.175006323198875,0.047404740474047406,49999.939,2.786943487048132,,,
snackpack_basket_residual,fold_A,3,519.0,0.7067548636614513,0.3943394339433943,50040.85255,161.0464460442934,,,
snackpack_basket_residual,fold_B,2,522.5,1.0681107684679558,0.1855185518551855,50183.608375,204.8826345553946,,,
pair_SNACKPACK_RASPBERRY/SNACKPACK_VANILLA,fold_A,5,998.2718328649298,1.7677913591594745,0.24822482248224823,-4.895264282822609e-12,159.01474061847532,-0.13129893436398685,11386.243142945958,
pair_SNACKPACK_RASPBERRY/SNACKPACK_VANILLA,fold_B,6,1056.602637512242,1.7795475613238205,0.2784278427842784,-1.1030351743102075e-12,160.92257811234106,0.012820816166284697,9962.371912450579,
pair_MICROCHIP_RECTANGLE/MICROCHIP_SQUARE,fold_A,6,2094.0022396944805,2.108492971390672,0.2532253225322532,-8.370261639356614e-12,300.4173485004039,-0.32880735038846626,13302.025239283203,
pair_MICROCHIP_RECTANGLE/MICROCHIP_SQUARE,fold_B,3,1130.8682913642424,1.0049859439933326,0.2591259125912591,-7.28759914636612e-12,303.68971689180836,-0.40026905094204024,14119.131476866616,
pair_SLEEP_POD_COTTON/SLEEP_POD_POLYESTER,fold_A,2,755.4384739352754,0.8889590835993992,0.20152015201520151,2.7706846594810488e-12,290.9537575414557,0.5938052377213833,4385.776880928327,
pair_SLEEP_POD_COTTON/SLEEP_POD_POLYESTER,fold_B,1,395.9983556406478,0.31973766881176074,0.3584358435843584,3.3527612686157226e-12,327.75756769528357,0.5194036394799667,5144.198537408188,
pair_ROBOT_LAUNDRY/ROBOT_VACUUMING,fold_A,5,1395.2750423423686,1.616568893791456,0.29002900290029004,-4.068715497851372e-12,218.6623889726421,0.5800892449976521,4619.365989901805,
pair_ROBOT_LAUNDRY/ROBOT_VACUUMING,fold_B,1,-115.94118107595386,-0.1228519875414209,0.49384938493849384,-2.497108653187752e-12,234.01962427533292,0.33352368583833564,7071.953708069319,
