signal,min_sharpe,max_sharpe,mean_sharpe,sum_pnl
pebbles_basket_residual,16.61752616734503,17.175006323198875,16.896266245271953,9216.5
ar1_OXYGEN_SHAKE_EVENING_BREATH,7.566886106287315,9.330679992271435,8.448783049279374,13653.0
ar1_ROBOT_IRONING,7.346017717157063,11.22045246267653,9.283235089916797,13119.5
pair_SNACKPACK_RASPBERRY/SNACKPACK_VANILLA,1.7677913591594745,1.7795475613238205,1.7736694602416474,2054.8744703771717
pair_GALAXY_SOUNDS_DARK_MATTER/GALAXY_SOUNDS_PLANETARY_RINGS,1.5087741294888806,1.5531140065075548,1.5309440679982176,2311.981010036073
pair_SLEEP_POD_LAMB_WOOL/SLEEP_POD_NYLON,1.1350357166213771,1.4805843951681366,1.3078100558947567,1468.9412161046293
pair_MICROCHIP_RECTANGLE/MICROCHIP_SQUARE,1.0049859439933326,2.108492971390672,1.5567394576920024,3224.870531058723
snackpack_basket_residual,0.7067548636614513,1.0681107684679558,0.8874328160647036,1041.5
pair_SNACKPACK_CHOCOLATE/SNACKPACK_STRAWBERRY,0.6448505612689568,2.275790900529333,1.460320730899145,1489.3820513900027
ar1_ROBOT_DISHES,0.4475572522284442,13.550340468684702,6.998948860456573,22295.0
pair_SLEEP_POD_POLYESTER/SLEEP_POD_SUEDE,0.39174628016255186,0.49442902686085266,0.44308765351170226,950.9415735179855
pair_SLEEP_POD_COTTON/SLEEP_POD_POLYESTER,0.31973766881176074,0.8889590835993992,0.60434837620558,1151.4368295759232
pair_PEBBLES_S/PEBBLES_XL,-0.03256798313399181,0.4762835099320738,0.221857763399041,253.51470461911595
pair_TRANSLATOR_ECLIPSE_CHARCOAL/TRANSLATOR_VOID_BLUE,-0.05322179075477021,1.5328894017570889,0.7398338055011593,1534.8804199582937
pair_ROBOT_LAUNDRY/ROBOT_VACUUMING,-0.1228519875414209,1.616568893791456,0.7468584531250175,1279.3338612664147
ar1_OXYGEN_SHAKE_CHOCOLATE,-0.1544841770095741,2.3948417883502953,1.1201788056703605,2418.5
pair_PEBBLES_M/PEBBLES_XS,-0.4462334728493853,1.460788717861832,0.5072776225062233,616.7979452187883
pair_UV_VISOR_AMBER/UV_VISOR_MAGENTA,-0.47174153406783215,0.674325619345857,0.10129204263901243,399.0878063140899
pair_OXYGEN_SHAKE_CHOCOLATE/OXYGEN_SHAKE_GARLIC,-0.9512394827772302,1.558224237079037,0.3034923771509033,85.08960940068391
pair_MICROCHIP_OVAL/MICROCHIP_TRIANGLE,-1.7127493203340352,-1.2466070871743962,-1.4796782037542155,-3238.1212954514967
