product,lag,ic,n_avg
GALAXY_SOUNDS_DARK_MATTER,36,-0.01137636940467463,9956
GALAXY_SOUNDS_DARK_MATTER,37,-0.0018167783017814382,9957
GALAXY_SOUNDS_DARK_MATTER,38,0.006816872248753901,9954
GALAXY_SOUNDS_DARK_MATTER,39,0.011907730580495655,9953
GALAXY_SOUNDS_DARK_MATTER,40,-0.0007404458210330707,9954
GALAXY_SOUNDS_DARK_MATTER,41,0.000740321543300212,9952
GALAXY_SOUNDS_DARK_MATTER,42,0.004758732747826326,9952
GALAXY_SOUNDS_DARK_MATTER,43,-0.003998584513196298,9949
GALAXY_SOUNDS_DARK_MATTER,44,-0.0008129869171699136,9947
GALAXY_SOUNDS_DARK_MATTER,45,-0.0015270705428318352,9947
GALAXY_SOUNDS_DARK_MATTER,46,-0.0053425349931142665,9945
GALAXY_SOUNDS_DARK_MATTER,47,0.012858265191663892,9946
GALAXY_SOUNDS_DARK_MATTER,48,-0.00555741239987241,9943
GALAXY_SOUNDS_DARK_MATTER,49,-0.00655600500406691,9942
GALAXY_SOUNDS_DARK_MATTER,50,0.005188900674679089,9942
GALAXY_SOUNDS_PLANETARY_RINGS,1,0.005375478716368783,9992
GALAXY_SOUNDS_PLANETARY_RINGS,2,0.0068928315541632425,9993
GALAXY_SOUNDS_PLANETARY_RINGS,3,0.005148325811843957,9992
GALAXY_SOUNDS_PLANETARY_RINGS,4,0.0031351411703778365,9990
GALAXY_SOUNDS_PLANETARY_RINGS,5,0.002296416995646871,9990
GALAXY_SOUNDS_PLANETARY_RINGS,6,0.01023750815811471,9988
GALAXY_SOUNDS_PLANETARY_RINGS,7,-0.003956894408434709,9986
GALAXY_SOUNDS_PLANETARY_RINGS,8,0.012544294626407796,9985
GALAXY_SOUNDS_PLANETARY_RINGS,9,0.0028997421229125116,9982
GALAXY_SOUNDS_PLANETARY_RINGS,10,0.004414179554881937,9982
GALAXY_SOUNDS_PLANETARY_RINGS,11,0.011522616881518006,9979
GALAXY_SOUNDS_PLANETARY_RINGS,12,-0.011311614136996634,9982
GALAXY_SOUNDS_PLANETARY_RINGS,13,-0.005018962983826473,9982
GALAXY_SOUNDS_PLANETARY_RINGS,14,0.011228311482711884,9981
GALAXY_SOUNDS_PLANETARY_RINGS,15,0.0034013375919632496,9977
GALAXY_SOUNDS_PLANETARY_RINGS,16,0.001864819801864959,9978
GALAXY_SOUNDS_PLANETARY_RINGS,17,-0.0018642802082062908,9975
GALAXY_SOUNDS_PLANETARY_RINGS,18,0.006621692692813171,9974
GALAXY_SOUNDS_PLANETARY_RINGS,19,0.004463575550851289,9972
GALAXY_SOUNDS_PLANETARY_RINGS,20,-0.0003565636953579094,9971
GALAXY_SOUNDS_PLANETARY_RINGS,21,-0.0021379339268558467,9974
GALAXY_SOUNDS_PLANETARY_RINGS,22,0.004307227520643194,9973
GALAXY_SOUNDS_PLANETARY_RINGS,23,0.011062265811349857,9971
GALAXY_SOUNDS_PLANETARY_RINGS,24,0.007398160692815862,9969
GALAXY_SOUNDS_PLANETARY_RINGS,25,0.016328973293296647,9969
GALAXY_SOUNDS_PLANETARY_RINGS,26,0.0009962009437000582,9967
GALAXY_SOUNDS_PLANETARY_RINGS,27,-0.00024638789894679096,9967
GALAXY_SOUNDS_PLANETARY_RINGS,28,0.007684912559716841,9966
GALAXY_SOUNDS_PLANETARY_RINGS,29,-0.0029385245610406927,9964
GALAXY_SOUNDS_PLANETARY_RINGS,30,0.00016132411963612828,9963
GALAXY_SOUNDS_PLANETARY_RINGS,31,-0.0026869912569390682,9964
GALAXY_SOUNDS_PLANETARY_RINGS,32,-0.006001268411191199,9960
GALAXY_SOUNDS_PLANETARY_RINGS,33,-0.0027074190008291865,9960
GALAXY_SOUNDS_PLANETARY_RINGS,34,0.0006431498052430397,9960
GALAXY_SOUNDS_PLANETARY_RINGS,35,0.01226651324696606,9957
GALAXY_SOUNDS_PLANETARY_RINGS,36,0.0036860052023220883,9956
GALAXY_SOUNDS_PLANETARY_RINGS,37,-0.00028452571546035203,9957
GALAXY_SOUNDS_PLANETARY_RINGS,38,0.002538296739850568,9957
GALAXY_SOUNDS_PLANETARY_RINGS,39,0.0045194900663521375,9956
GALAXY_SOUNDS_PLANETARY_RINGS,40,0.002745067917762127,9954
GALAXY_SOUNDS_PLANETARY_RINGS,41,-0.007173964247699344,9953
GALAXY_SOUNDS_PLANETARY_RINGS,42,0.002116507369792965,9951
