product,baseline_F1,tuned_F1,baseline_F2,tuned_F2,baseline_F3,tuned_F3,baseline_F4,tuned_F4,baseline_F5,tuned_F5,baseline_median,tuned_median,delta_median,baseline_fold_min,tuned_fold_min,fold_min_delta,baseline_3day,tuned_3day,delta_3day,baseline_n_pairs,tuned_n_pairs,added_n_pairs
UV_VISOR_RED,8456,8456,110,110,8456,8456,1233,1233,8456,8456,8456,8456,0,110,110,0,9799,9799,0,0,0,0
PANEL_4X4,954,954,3116,3116,954,954,-4426,-4426,954,954,954,954,0,-4426,-4426,0,-356,-356,0,0,0,0
ROBOT_VACUUMING,3076,3076,3664,3664,3076,3076,-5116,-5116,3076,3076,3076,3076,0,-5116,-5116,0,1624,1624,0,1,1,0
PANEL_2X4,18765,18878,10894,11889,18765,18878,21858,20224,18765,18878,18765,18878,113,10894,11889,995,51517,50991,-526,7,31,24
UV_VISOR_YELLOW,21541,22557,18784,18874,21541,22557,8810,7156,21541,22557,21541,22557,1016,8810,7156,-1654,49135,48587,-548,2,6,4
PANEL_1X2,-632,494,-23,-4363,-632,494,-434,1194,-632,494,-632,494,1126,-632,-4363,-3731,-1089,-2675,-1586,1,8,7
SLEEP_POD_SUEDE,13961,11151,28159,27856,13961,11151,19203,20574,13961,11151,13961,11151,-2810,13961,11151,-2810,61323,59581,-1742,3,9,6
SLEEP_POD_POLYESTER,22163,20790,5429,5172,22163,20790,12206,11588,22163,20790,22163,20790,-1373,5429,5172,-257,39798,37550,-2248,5,18,13
OXYGEN_SHAKE_GARLIC,17994,13645,19641,19383,17994,13645,22970,24630,17994,13645,17994,13645,-4349,17994,13645,-4349,60605,57658,-2947,4,16,12
MICROCHIP_OVAL,5403,2786,970,81,5403,2786,4638,4360,5403,2786,5403,2786,-2617,970,81,-889,11011,7227,-3784,1,3,2
UV_VISOR_AMBER,752,-4156,8957,3697,752,-4156,14319,20425,752,-4156,752,-4156,-4908,752,-4156,-4908,24028,19966,-4062,5,22,17
OXYGEN_SHAKE_CHOCOLATE,9843,3942,4864,-13891,9843,3942,8866,9410,9843,3942,9843,3942,-5901,4864,-13891,-18755,23573,-539,-24112,0,5,5
