group,from,to,f_stat,p_value
oxygen_shake,OXYGEN_SHAKE_CHOCOLATE,OXYGEN_SHAKE_MORNING_BREATH,0.41140681496325615,0.5212592661317866
oxygen_shake,OXYGEN_SHAKE_EVENING_BREATH,OXYGEN_SHAKE_CHOCOLATE,2.884056066143847,0.0894666468020257
oxygen_shake,OXYGEN_SHAKE_EVENING_BREATH,OXYGEN_SHAKE_GARLIC,8.696627282536761e-05,0.9925594160276141
oxygen_shake,OXYGEN_SHAKE_EVENING_BREATH,OXYGEN_SHAKE_MINT,0.14345193865084796,0.7048747605228819
oxygen_shake,OXYGEN_SHAKE_EVENING_BREATH,OXYGEN_SHAKE_MORNING_BREATH,0.4541356266421734,0.5003806434356983
oxygen_shake,OXYGEN_SHAKE_GARLIC,OXYGEN_SHAKE_CHOCOLATE,0.04173716275460099,0.8381224403030462
oxygen_shake,OXYGEN_SHAKE_GARLIC,OXYGEN_SHAKE_EVENING_BREATH,0.13395001546295812,0.7143727257315893
oxygen_shake,OXYGEN_SHAKE_GARLIC,OXYGEN_SHAKE_MINT,4.34924785198628,0.03703035637572622
oxygen_shake,OXYGEN_SHAKE_GARLIC,OXYGEN_SHAKE_MORNING_BREATH,1.5644320832420868,0.21102331314688288
oxygen_shake,OXYGEN_SHAKE_MINT,OXYGEN_SHAKE_CHOCOLATE,0.4387171685249409,0.5077453292124935
oxygen_shake,OXYGEN_SHAKE_MINT,OXYGEN_SHAKE_EVENING_BREATH,0.6860172264703175,0.40752633855221954
oxygen_shake,OXYGEN_SHAKE_MINT,OXYGEN_SHAKE_GARLIC,1.1468976827344908,0.28420468909884705
oxygen_shake,OXYGEN_SHAKE_MINT,OXYGEN_SHAKE_MORNING_BREATH,1.7216401731215076,0.18948808339442372
oxygen_shake,OXYGEN_SHAKE_MORNING_BREATH,OXYGEN_SHAKE_CHOCOLATE,0.10090688415714928,0.750745367399635
oxygen_shake,OXYGEN_SHAKE_MORNING_BREATH,OXYGEN_SHAKE_EVENING_BREATH,0.059485512432696785,0.8073119658788159
oxygen_shake,OXYGEN_SHAKE_MORNING_BREATH,OXYGEN_SHAKE_GARLIC,0.5414964874187448,0.46181664882229007
oxygen_shake,OXYGEN_SHAKE_MORNING_BREATH,OXYGEN_SHAKE_MINT,0.060384639775009324,0.8058900406561833
panel,PANEL_1X2,PANEL_1X4,0.9053900115740918,0.34134515309647456
panel,PANEL_1X2,PANEL_2X2,0.2933059685734615,0.5881121500457903
panel,PANEL_1X2,PANEL_2X4,0.13401305456753504,0.7143084715800367
panel,PANEL_1X2,PANEL_4X4,0.0005954033754882875,0.9805329367997947
panel,PANEL_1X4,PANEL_1X2,0.3792906699895508,0.5379859077938062
panel,PANEL_1X4,PANEL_2X2,1.1639434573526328,0.2806544089719527
panel,PANEL_1X4,PANEL_2X4,0.0065069166184366254,0.9357083283778898
panel,PANEL_1X4,PANEL_4X4,0.004872180414017203,0.9443523259372562
panel,PANEL_2X2,PANEL_1X2,0.05250108086298792,0.8187679261881209
panel,PANEL_2X2,PANEL_1X4,7.28381943766056,0.006960182918335595
panel,PANEL_2X2,PANEL_2X4,0.703849913089202,0.40149709728262356
panel,PANEL_2X2,PANEL_4X4,0.8657823197898509,0.35213008872931384
panel,PANEL_2X4,PANEL_1X2,3.5647345644913053,0.05902496430121671
panel,PANEL_2X4,PANEL_1X4,0.1683914709311255,0.6815470921773206
panel,PANEL_2X4,PANEL_2X2,0.04193757359016655,0.837739648890552
panel,PANEL_2X4,PANEL_4X4,0.0683123192331008,0.7938111547274226
panel,PANEL_4X4,PANEL_1X2,0.04123525754625274,0.8390853176372568
panel,PANEL_4X4,PANEL_1X4,0.19558318142232958,0.6583117611074008
panel,PANEL_4X4,PANEL_2X2,0.015150235910278153,0.9020392591675334
panel,PANEL_4X4,PANEL_2X4,0.27870035702385876,0.5975566610228928
pebbles,PEBBLES_L,PEBBLES_M,3.3657037275607067,0.06657308030177703
pebbles,PEBBLES_L,PEBBLES_S,1.4241544365895002,0.23272647803916452
pebbles,PEBBLES_L,PEBBLES_XL,0.6454075877345621,0.42176320960549907
pebbles,PEBBLES_L,PEBBLES_XS,0.42550717487778034,0.5142047851801899
pebbles,PEBBLES_M,PEBBLES_L,0.2573470521241439,0.611950890762793
pebbles,PEBBLES_M,PEBBLES_S,2.9751605446578897,0.08455792179146708
pebbles,PEBBLES_M,PEBBLES_XL,0.5960329441180221,0.4400993046670833
pebbles,PEBBLES_M,PEBBLES_XS,0.07788637810967747,0.7801835803247337
pebbles,PEBBLES_S,PEBBLES_L,0.9019228474372202,0.3422712412834721
pebbles,PEBBLES_S,PEBBLES_M,5.341515120277691,0.0208274160572605
pebbles,PEBBLES_S,PEBBLES_XL,1.5637681279396103,0.211120201810721
pebbles,PEBBLES_S,PEBBLES_XS,0.10893141918415107,0.7413653784196861
pebbles,PEBBLES_XL,PEBBLES_L,0.360610128582375,0.5481703045465245
pebbles,PEBBLES_XL,PEBBLES_M,4.834454315568741,0.027901034700182098
pebbles,PEBBLES_XL,PEBBLES_S,1.541468033588454,0.21440525177438705
pebbles,PEBBLES_XL,PEBBLES_XS,0.10762738776370913,0.7428630345922443
pebbles,PEBBLES_XS,PEBBLES_L,0.851967523521004,0.35600078730369494
pebbles,PEBBLES_XS,PEBBLES_M,4.936226396633974,0.026303856019639853
pebbles,PEBBLES_XS,PEBBLES_S,1.2732996567425414,0.2591539960895308
pebbles,PEBBLES_XS,PEBBLES_XL,1.4201076944542819,0.2333913381500795
robot,ROBOT_DISHES,ROBOT_IRONING,1.2930231474706366,0.2554970228522498
robot,ROBOT_DISHES,ROBOT_LAUNDRY,0.10858491844518867,0.7417623544455461
robot,ROBOT_DISHES,ROBOT_MOPPING,0.45705591645769056,0.499006247455877
robot,ROBOT_DISHES,ROBOT_VACUUMING,0.02323943394840732,0.8788366964954274
robot,ROBOT_IRONING,ROBOT_DISHES,0.00528411993384826,0.9420515436814432
robot,ROBOT_IRONING,ROBOT_LAUNDRY,0.13687323334333829,0.7114110109645572
robot,ROBOT_IRONING,ROBOT_MOPPING,0.7272142316889908,0.3937917451191064
robot,ROBOT_IRONING,ROBOT_VACUUMING,0.40119837252433077,0.5264739147058712
robot,ROBOT_LAUNDRY,ROBOT_DISHES,0.5104186600384661,0.47496101512913225
robot,ROBOT_LAUNDRY,ROBOT_IRONING,0.475293150654879,0.4905652987219829
robot,ROBOT_LAUNDRY,ROBOT_MOPPING,0.14660547257298207,0.7018022574275458
robot,ROBOT_LAUNDRY,ROBOT_VACUUMING,0.2047449091726602,0.650919811460521
robot,ROBOT_MOPPING,ROBOT_DISHES,0.04138164269380982,0.8388038584425583
robot,ROBOT_MOPPING,ROBOT_IRONING,0.8425393907942422,0.35867594300934336
robot,ROBOT_MOPPING,ROBOT_LAUNDRY,4.45872298340814,0.03472839849948046
robot,ROBOT_MOPPING,ROBOT_VACUUMING,0.44113768945801063,0.5065769165512866
robot,ROBOT_VACUUMING,ROBOT_DISHES,4.2992797633162265,0.03813362877582503
robot,ROBOT_VACUUMING,ROBOT_IRONING,3.4736209442140296,0.06236053741731485
robot,ROBOT_VACUUMING,ROBOT_LAUNDRY,0.17473524784545064,0.6759390768071084
robot,ROBOT_VACUUMING,ROBOT_MOPPING,9.769970902826277,0.0017748686759831288
sleep_pod,SLEEP_POD_COTTON,SLEEP_POD_LAMB_WOOL,0.34974204578158496,0.5542618634369931
