group,a,b,slope,intercept,adf_p,ou_hl,wf1_sharpe,wf1_pnl,wf2_sharpe,wf2_pnl
galaxy_sounds,GALAXY_SOUNDS_BLACK_HOLES,GALAXY_SOUNDS_DARK_MATTER,-0.02337913127394265,11705.962552439405,0.8850842425803512,17716.72802458707,-1.3821789203742934,-342.99843295368737,-1.0352699128804699,-1306.2036612259835
galaxy_sounds,GALAXY_SOUNDS_BLACK_HOLES,GALAXY_SOUNDS_PLANETARY_RINGS,0.0929871274358984,10465.710071974045,0.9149393411307154,24621.37384264444,-1.0935247505823125,-225.5662449249994,-1.1734527914476443,-1484.8082541792319
galaxy_sounds,GALAXY_SOUNDS_BLACK_HOLES,GALAXY_SOUNDS_SOLAR_FLAMES,-0.24931485927181132,14232.415035681313,0.7967321979233364,10726.684448110234,2.549539091849243,840.2382762418329,-1.0565196254272269,-1365.3766746689253
galaxy_sounds,GALAXY_SOUNDS_BLACK_HOLES,GALAXY_SOUNDS_SOLAR_WINDS,0.8242458458478005,2863.7698279545525,0.8542519796975228,10810.662320348938,,0.0,-0.08549543463704853,-94.08525565588752
galaxy_sounds,GALAXY_SOUNDS_DARK_MATTER,GALAXY_SOUNDS_PLANETARY_RINGS,0.18749942614840917,8207.9167732642,0.03677477995323291,1148.9234707156377,1.6124895649312643,856.687921780921,1.9994866041836135,1302.3751273950538
galaxy_sounds,GALAXY_SOUNDS_DARK_MATTER,GALAXY_SOUNDS_SOLAR_FLAMES,-0.016554130050890764,10410.2896911873,0.06913622599441838,1416.1571085998685,0.23928710500130246,150.51187258231585,1.99223210515258,998.9509903344788
galaxy_sounds,GALAXY_SOUNDS_DARK_MATTER,GALAXY_SOUNDS_SOLAR_WINDS,-0.009583375268744488,10326.688717383253,0.07018591896135223,1420.09130906195,0.20463775764107758,129.02269749302832,1.9903941483147642,997.8633108559534
galaxy_sounds,GALAXY_SOUNDS_PLANETARY_RINGS,GALAXY_SOUNDS_SOLAR_FLAMES,-0.015505667075196008,10938.670907121288,0.7388194205950062,8388.81217508851,-0.1265084743066173,-147.24681988335215,,0.0
galaxy_sounds,GALAXY_SOUNDS_PLANETARY_RINGS,GALAXY_SOUNDS_SOLAR_WINDS,0.12397529936971917,9472.675545381235,0.7364959598704164,8314.291507709388,-0.010489246114649079,-12.267035590894011,,0.0
galaxy_sounds,GALAXY_SOUNDS_SOLAR_FLAMES,GALAXY_SOUNDS_SOLAR_WINDS,-0.278869631464942,14003.28573938346,0.023888615295156086,1402.821267748576,1.7645142934298104,742.6339110560511,,0.0
microchip,MICROCHIP_CIRCLE,MICROCHIP_OVAL,-0.14257206366391442,10381.067552311206,0.2974291951890705,3120.830878377961,-0.11413441603359938,-77.70676358271339,0.6391789432532223,520.7882475314054
microchip,MICROCHIP_CIRCLE,MICROCHIP_RECTANGLE,0.09808627707216265,8358.352817733377,0.7744928423330335,6927.558606420966,0.6228345715595697,287.11722350635046,-0.6315919674297523,-504.1974045275674
microchip,MICROCHIP_CIRCLE,MICROCHIP_SQUARE,-0.02729056261838261,9585.893613095637,0.7762704864738941,7031.446354258699,1.229623851082625,622.4944074520845,-0.5474699424566896,-439.5516089815883
microchip,MICROCHIP_CIRCLE,MICROCHIP_TRIANGLE,-0.37914377152437384,12887.420131128401,0.11022661668789252,1895.7472616439932,0.5998231552416905,434.32449730378903,1.0750850909125214,968.9658535152685
microchip,MICROCHIP_OVAL,MICROCHIP_RECTANGLE,1.346332330034756,-3577.166700306029,0.8383864591301906,8652.86873152654,1.0589946804142107,1679.0297158282974,-1.2730299606324702,-2293.126679803412
microchip,MICROCHIP_OVAL,MICROCHIP_SQUARE,-0.6203878710620967,16613.61567212872,0.9100081895195098,16130.773367735519,1.0922155889820337,1698.0862230374732,-1.243680720738052,-1933.1839923514763
microchip,MICROCHIP_OVAL,MICROCHIP_TRIANGLE,1.6209796083664458,-7521.843708079244,0.016962390443166837,1058.9020601004743,1.0640523644341557,2710.072733408355,,0.0
microchip,MICROCHIP_RECTANGLE,MICROCHIP_SQUARE,-0.36252124265775315,13660.82439733538,0.004452684015810759,755.1984468450124,1.9141021919514285,1396.73194895726,1.3682652282897751,999.4234824540599
microchip,MICROCHIP_RECTANGLE,MICROCHIP_TRIANGLE,0.3054458683689896,5773.771214189612,0.28607543011987735,3068.983689749252,-0.4862841015721841,-587.9393335438008,,0.0
microchip,MICROCHIP_SQUARE,MICROCHIP_TRIANGLE,-0.9893798481900349,23178.268439537635,0.3397015579413575,4094.9527174693785,-0.6511135484331736,-1751.1126689118937,,0.0
oxygen_shake,OXYGEN_SHAKE_CHOCOLATE,OXYGEN_SHAKE_EVENING_BREATH,0.1595613694593625,8077.442869649917,0.7959359058981421,5240.067752202578,0.978598915014451,402.6991149756532,-0.7877540912559325,-864.4342054189037
oxygen_shake,OXYGEN_SHAKE_CHOCOLATE,OXYGEN_SHAKE_GARLIC,0.37975377733774635,5028.072384772428,0.030049333392712343,1418.1608768339975,,0.0,0.650426171570417,623.0469278336677
oxygen_shake,OXYGEN_SHAKE_CHOCOLATE,OXYGEN_SHAKE_MINT,-0.2723132806594919,12236.004502586768,0.7996930958741388,4951.661841838031,,0.0,-0.4836203293180707,-531.647975410413
oxygen_shake,OXYGEN_SHAKE_CHOCOLATE,OXYGEN_SHAKE_MORNING_BREATH,-0.29787683547364785,12535.782530533179,0.6785491037874221,3850.8172699635247,1.5803841356562123,955.6858031258344,-0.4683116298351571,-517.6792013811719
